2020-07-09 19:09:20,059 p=12035 u=root n=ansible |  [ERROR]: User interrupted execution

2020-07-09 19:09:25,622 p=13235 u=root n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2020-07-09 19:09:26,093 p=13235 u=root n=ansible | PLAY [Clean EFK setup] *************************************************************************************************************************
2020-07-09 19:09:26,110 p=13235 u=root n=ansible | TASK [Gathering Facts] *************************************************************************************************************************
2020-07-09 19:09:29,311 p=13235 u=root n=ansible | ok: [10.10.120.211]
2020-07-09 19:09:29,341 p=13235 u=root n=ansible | TASK [clean-logging : check for kubelet] *******************************************************************************************************
2020-07-09 19:09:29,896 p=13235 u=root n=ansible | changed: [10.10.120.211]
2020-07-09 19:09:29,918 p=13235 u=root n=ansible | TASK [clean-logging : copy all yaml to /tmp/files/] ********************************************************************************************
2020-07-09 19:09:43,062 p=13235 u=root n=ansible | changed: [10.10.120.211]
2020-07-09 19:09:43,096 p=13235 u=root n=ansible | TASK [clean-logging : Delete elastalert config configmap] **************************************************************************************
2020-07-09 19:09:43,188 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,221 p=13235 u=root n=ansible | TASK [clean-logging : Delete elastalert key configmap] *****************************************************************************************
2020-07-09 19:09:43,290 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,325 p=13235 u=root n=ansible | TASK [clean-logging : Delete elastalert rule configmap] ****************************************************************************************
2020-07-09 19:09:43,417 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,450 p=13235 u=root n=ansible | TASK [clean-logging : Delete elastalert pod] ***************************************************************************************************
2020-07-09 19:09:43,539 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,572 p=13235 u=root n=ansible | TASK [clean-logging : Delete fluentd configmap] ************************************************************************************************
2020-07-09 19:09:43,658 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,692 p=13235 u=root n=ansible | TASK [clean-logging : Delete fluentd pod] ******************************************************************************************************
2020-07-09 19:09:43,775 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,807 p=13235 u=root n=ansible | TASK [clean-logging : Delete nginx configmap] **************************************************************************************************
2020-07-09 19:09:43,895 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:43,929 p=13235 u=root n=ansible | TASK [clean-logging : Delete nginx key configmap] **********************************************************************************************
2020-07-09 19:09:44,007 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:44,042 p=13235 u=root n=ansible | TASK [clean-logging : Delete nginx pod] ********************************************************************************************************
2020-07-09 19:09:44,130 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:44,164 p=13235 u=root n=ansible | TASK [clean-logging : Stopping Kibana] *********************************************************************************************************
2020-07-09 19:09:44,252 p=13235 u=root n=ansible | skipping: [10.10.120.211]
2020-07-09 19:09:44,286 p=13235 u=root n=ansible | TASK [clean-logging : Stopping Elasticsearch] **************************************************************************************************
2020-07-09 19:09:44,373 p=13235 u=root n=ansible | skipping: [10.10.120.211]
